Submission,max_depth,min_samples_split,min_samples_leaf,Validation Accuracy
1,5,2,1,0.81
2,10,5,2,0.83
3,15,3,3,0.85
4,7,4,1,0.79
5,20,6,5,0.84
6,6,2,4,0.82
7,12,7,2,0.87
8,8,3,3,0.8
9,18,5,1,0.88
10,4,8,6,0.76
11,13,9,7,0.86
12,14,4,2,0.89
13,9,2,1,0.83
14,17,6,4,0.87
15,5,3,3,0.78
16,16,8,2,0.88
17,11,5,5,0.85
18,19,7,3,0.82
19,15,9,1,0.87
20,10,3,4,0.79
50,25,2,1,
51,30,5,2,
52,28,3,1,
53,26,4,2,
54,27,3,1,
76,20,10,3,
77,20,9,2,
78,20,8,3,
79,20,7,4,
80,20,6,5,
81,20,5,6,
82,20,4,7,
83,20,3,8,
84,20,2,9,
85,20,10,4,
86,20,9,5,
87,20,8,6,
88,20,7,7,
89,20,6,8,
90,20,5,9,
91,20,4,2,
92,20,3,3,
93,20,2,4,
94,20,10,5,
95,20,9,6,
96,20,8,7,
97,20,7,8,
98,20,6,9,
100,20,9,3,
101,20,8,2,
102,20,7,4,
103,20,6,5,
104,20,5,6,
105,20,4,7,
106,20,3,8,
107,20,2,9,
108,20,7,2,
109,20,6,3,
110,20,5,4,
